# t m teff logg logL Lum R 
1.0000 0.060 1584. 5.26 -4.30 5.0118723362727E-5 0.095 
1.0000 0.070 2047. 5.33 -3.85 0.00014125375446228 0.095 
1.0000 0.072 2109. 5.33 -3.79 0.00016218100973589 0.096 
1.0000 0.075 2243. 5.33 -3.67 0.00021379620895022 0.098 
1.0000 0.080 2400. 5.32 -3.51 0.00030902954325136 0.103 
1.0000 0.090 2648. 5.28 -3.25 0.00056234132519035 0.114 
1.0000 0.100 2810. 5.24 -3.06 0.00087096358995608 0.125 
1.0000 0.200 3261. 5.06 -2.32 0.0047863009232264 0.219 
1.0000 0.300 3415. 4.98 -1.99 0.010232929922808 0.293 
1.0000 0.400 3520. 4.89 -1.72 0.019054607179632 0.375 
1.0000 0.500 3680. 4.80 -1.46 0.034673685045253 0.463 
1.0000 0.600 3967. 4.72 -1.16 0.069183097091894 0.559 
1.0000 0.700 4387. 4.67 -0.87 0.13489628825917 0.642 
1.0000 0.800 4826. 4.62 -0.60 0.25118864315096 0.725 
1.0000 0.900 5220. 4.56 -0.35 0.44668359215096 0.822 
1.0000 1.000 5592. 4.50 -0.13 0.74131024130092 0.931 
1.0000 1.100 5916. 4.43 0.09 1.2302687708124 1.062 
1.0000 1.200 6187. 4.35 0.28 1.9054607179632 1.214 
1.0000 1.300 6438. 4.28 0.46 2.8840315031266 1.374 
1.0000 1.400 6684. 4.21 0.62 4.1686938347034 1.533 
